Date,Total
2011-12-01 00:00:00.000000,1272482
2012-01-01 00:00:00.000000,1319684
2012-02-01 00:00:00.000000,1098688
2012-03-01 00:00:00.000000,1152453
2012-04-01 00:00:00.000000,1158448
2012-05-01 00:00:00.000000,1051239
2012-06-01 00:00:00.000000,1145681
2012-07-01 00:00:00.000000,1237999
2012-08-01 00:00:00.000000,1179114
2012-09-01 00:00:00.000000,1226187
2012-10-01 00:00:00.000000,1237582
2012-11-01 00:00:00.000000,1201897
2012-12-01 00:00:00.000000,1349947
2013-01-01 00:00:00.000000,1352473
2013-02-01 00:00:00.000000,1120668
2013-03-01 00:00:00.000000,1216007
2013-04-01 00:00:00.000000,1194754
2013-05-01 00:00:00.000000,1110304
2013-06-01 00:00:00.000000,1167437
2013-07-01 00:00:00.000000,1302474
