Indicator_Name,Adjusted net national income per capita (annual % growth),Age dependency ratio (% of working-age population),"Air transport, passengers carried",Consumer price index (2010 = 100),"Employment to population ratio, 15+, total (%) (national estimate)",Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),GDP (current US$),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Population ages 15-64 (% of total),"Population ages 15-64, total",Population growth (annual %),"Population, total",Urban population (% of total)
1994,3.251251392,53.17999619,514924000,67.9758135,62.57910156,1.820501541,8.7333765,7308760000000,27776.63553,11.12946049,2.607441592,65.28267552,171775693,1.226296089,263126000,76.875
1995,2.149739481,53.08151561,533512096,69.88282035,62.9477005,1.852162806,8.189796879,7664060000000,28782.17502,11.77666928,2.805419689,65.32467322,173945233,1.190787091,266278000,77.257
1996,3.15335285,53.02783563,571072000,71.93122852,63.22249985,2.049086035,9.446289735,8100200000000,30068.23092,11.90051951,2.9312042,65.34758836,176042482,1.16341162,269394000,77.636
1997,4.2450606,52.77158359,590571392,73.61275761,63.84370041,1.880159089,9.214753998,8608520000000,31572.69023,12.26432201,2.337689937,65.45719946,178473636,1.203960297,272657000,78.008
1998,4.74519488,52.38677876,588170880,74.75543306,64.05970001,1.57012188,6.600591354,9089170000000,32949.19776,12.2749409,1.552279099,65.62249105,181022266,1.165714526,275854000,78.377
1999,2.954067548,51.96861552,634364608,76.39110227,64.25319672,1.538184759,7.495943338,9660620000000,34620.9289,12.92474482,2.188027197,65.80306056,183616860,1.148340047,279040000,78.742
2000,2.7000583,51.5624621,665327414,78.97072076,64.39589691,1.852973519,11.11756499,10284800000000,36449.85512,14.3185381,3.376857271,65.97939786,186169060,1.112768997,282162411,79.057
2001,0.353189978,51.11402392,622187846,81.20256846,63.66260147,1.895281191,10.69077997,10621800000000,37273.6181,13.13706572,2.826171119,66.17519493,188578761,0.989741382,284968955,79.234
2002,0.675274218,50.7600603,598410415,82.49046688,62.73180008,1.839167147,10.04174978,10977500000000,38166.03784,13.01727331,1.586031627,66.33056499,190783416,0.927797486,287625193,79.409
2003,1.267521238,50.43816523,588997110,84.36307882,62.2765007,2.092313824,12.35699183,11510700000000,39677.19835,13.41306805,2.270094973,66.47249367,192841977,0.859481713,290107933,79.583
2004,2.506899777,50.06968581,678110608,86.62167812,62.3451004,2.557602222,14.22595262,12274900000000,41921.80976,14.66955244,2.677236693,66.63570946,195112888,0.925483969,292805298,79.757
